Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
Reservoir Dogs,1992,99 min,8.3,81,1065036,2.83M
Toy Story,1995,81 min,8.3,96,1043713,191.80M
Up,2009,96 min,8.3,88,1097070,293.00M
Full Metal Jacket,1987,116 min,8.3,78,774125,46.36M
Hamilton,2020,160 min,8.3,88,107568,N/A
Lawrence of Arabia,1962,218 min,8.3,100,307305,44.82M
Incendies,2010,131 min,8.3,80,191049,6.86M
Amélie,2001,122 min,8.3,69,781488,33.23M
Star Wars: Episode VI - Return of the Jedi,1983,131 min,8.3,N/A,1098838,309.13M
Vertigo,1958,128 min,8.3,100,418718,3.20M
Princess Mononoke,1997,134 min,8.3,76,418909,2.38M
Singin' in the Rain,1952,103 min,8.3,99,254687,8.82M
Toy Story 3,2010,103 min,8.3,92,874225,415.00M
Citizen Kane,1941,119 min,8.3,100,458238,1.59M
Metropolis,1927,153 min,8.3,98,181786,1.24M
To Kill a Mockingbird,1962,129 min,8.3,88,327545,N/A
Vikram,2022,175 min,8.3,N/A,69259,N/A
North by Northwest,1959,136 min,8.3,98,340124,13.28M
M,1931,99 min,8.3,N/A,165183,0.03M
The Sting,1973,129 min,8.3,83,274049,159.60M
A Separation,2011,123 min,8.3,95,254025,7.10M
Dangal,2016,161 min,8.3,N/A,203189,12.39M
The Apartment,1960,125 min,8.3,94,191401,18.60M
Judgment at Nuremberg,1961,179 min,8.3,N/A,82509,N/A
Bicycle Thieves,1948,89 min,8.3,N/A,171324,0.33M
Double Indemnity,1944,107 min,8.3,95,164109,5.72M
Ikiru,1952,143 min,8.3,92,84713,0.06M
Like Stars on Earth,2007,162 min,8.3,N/A,202527,1.22M
K.G.F: Chapter 2,2022,166 min,8.3,N/A,144066,6.60M
Ayla: The Daughter of War,2017,125 min,8.3,N/A,42652,N/A
Shershaah,2021,135 min,8.3,N/A,126978,N/A
Raatchasan,2018,170 min,8.3,N/A,48732,N/A
Chhichhore,2019,143 min,8.3,N/A,60523,2.00M
Drishyam,2013,160 min,8.3,N/A,43249,N/A
The Thing,1982,109 min,8.2,N/A,452865,13.78M
The Wolf of Wall Street,2013,180 min,8.2,75,1524039,116.90M
Spider-Man: No Way Home,2021,148 min,8.2,71,841049,804.75M
Taxi Driver,1976,114 min,8.2,94,892851,28.26M
Jurassic Park,1993,127 min,8.2,68,1040824,402.45M
The Sixth Sense,1999,107 min,8.2,64,1030065,293.51M
Shutter Island,2010,138 min,8.2,63,1407072,128.01M
No Country for Old Men,2007,122 min,8.2,92,1030190,74.28M
There Will Be Blood,2007,158 min,8.2,93,623752,40.22M
Snatch,2000,102 min,8.2,N/A,890742,30.33M
V for Vendetta,2005,132 min,8.2,62,1159644,70.51M
Batman Begins,2005,140 min,8.2,70,1542698,206.85M
Kill Bill: Vol. 1,2003,111 min,8.2,69,1165068,70.10M
Die Hard,1988,132 min,8.2,72,916816,83.01M
Howl's Moving Castle,2004,119 min,8.2,82,428618,4.71M
Casino,1995,178 min,8.2,73,549271,42.44M
The Truman Show,1998,103 min,8.2,90,1155346,125.62M
Pan's Labyrinth,2006,118 min,8.2,98,691788,37.63M
1917,2019,119 min,8.2,78,647936,159.23M
Green Book,2018,130 min,8.2,69,540834,85.08M
A Beautiful Mind,2001,135 min,8.2,72,967633,170.74M
L.A. Confidential,1997,138 min,8.2,91,604158,64.62M
Finding Nemo,2003,100 min,8.2,90,1089215,380.84M
Indiana Jones and the Last Crusade,1989,127 min,8.2,65,795382,197.17M
Gone with the Wind,1939,238 min,8.2,97,328027,198.68M
Downfall,2004,156 min,8.2,82,368611,5.51M
The Father,2020,97 min,8.2,88,180106,N/A
Unforgiven,1992,130 min,8.2,85,428228,101.16M
Chinatown,1974,130 min,8.2,92,341936,N/A
Monty Python and the Holy Grail,1975,91 min,8.2,91,560890,1.23M
The Great Escape,1963,172 min,8.2,86,254237,12.10M
The Secret in Their Eyes,2009,129 min,8.2,80,218305,6.39M
Tumbbad,2018,104 min,8.2,N/A,56078,N/A
Some Like It Hot,1959,121 min,8.2,98,278244,25.00M
The Elephant Man,1980,124 min,8.2,78,253219,N/A
Klaus,2019,96 min,8.2,65,173494,N/A
Ran,1985,160 min,8.2,97,132827,4.14M
For a Few Dollars More,1965,132 min,8.2,74,268545,15.00M
Dial M for Murder,1954,105 min,8.2,75,184750,0.01M
Gangs of Wasseypur,2012,321 min,8.2,89,101368,N/A
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,117 min,8.2,72,68830,47.70M
All About Eve,1950,138 min,8.2,98,136390,0.01M
Rashomon,1950,88 min,8.2,98,176581,0.10M
Yojimbo,1961,110 min,8.2,93,128631,N/A
Drishyam 2,2022,140 min,8.2,N/A,41163,N/A
To Be or Not to Be,1942,99 min,8.2,86,41347,N/A
Miracle in Cell No. 7,2019,132 min,8.2,N/A,53555,N/A
Andhadhun,2018,139 min,8.2,N/A,99608,1.37M
Children of Heaven,1997,89 min,8.2,77,78753,0.93M
Drishyam,2015,163 min,8.2,N/A,91464,0.74M
The Kid,1921,68 min,8.2,N/A,132167,5.45M
The Treasure of the Sierra Madre,1948,126 min,8.2,98,130285,5.01M
The Wages of Fear,1953,131 min,8.2,85,64858,N/A
Swades,2004,189 min,8.2,N/A,95846,1.22M
Pather Panchali,1955,125 min,8.2,N/A,36690,0.54M
Vikram Vedha,2017,147 min,8.2,N/A,49364,N/A
Kantara,2022,148 min,8.2,N/A,98938,N/A
Baahubali 2: The Conclusion,2017,167 min,8.2,N/A,110248,20.19M
K.G.F: Chapter 1,2018,154 min,8.2,N/A,94770,N/A
Sherlock Jr.,1924,45 min,8.2,N/A,54714,0.98M
Dersu Uzala,1975,142 min,8.2,N/A,32654,N/A
Zindagi Na Milegi Dobara,2011,155 min,8.2,N/A,83652,3.11M
Uri: The Surgical Strike,2019,138 min,8.2,N/A,69627,4.19M
My Father and My Son,2005,112 min,8.2,N/A,90345,N/A
Z,1969,127 min,8.2,86,30671,0.08M
Umberto D.,1952,89 min,8.2,92,27483,0.07M
Bhaag Milkha Bhaag,2013,186 min,8.2,N/A,70974,1.63M
Rangasthalam 1985,2018,170 min,8.2,N/A,26800,3.51M
Paan Singh Tomar,2012,135 min,8.2,N/A,37459,0.04M
The Exorcist,1973,122 min,8.1,82,443444,232.91M
Prisoners,2013,153 min,8.1,70,778168,61.00M
Gone Girl,2014,149 min,8.1,79,1037222,167.77M
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,8.1,63,1181222,305.41M
The Big Lebowski,1998,117 min,8.1,71,842639,17.50M
Blade Runner,1982,117 min,8.1,84,804748,32.87M
Mad Max: Fury Road,2015,120 min,8.1,90,1054793,154.06M
Ratatouille,2007,111 min,8.1,96,795052,206.45M
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,8.1,85,923247,381.01M
Jaws,1975,124 min,8.1,87,644382,260.00M
Fargo,1996,98 min,8.1,86,706775,24.61M
Catch Me If You Can,2002,141 min,8.1,75,1057059,164.62M
Hacksaw Ridge,2016,139 min,8.1,71,572802,67.21M
Stand by Me,1986,89 min,8.1,75,429872,52.29M
The Wizard of Oz,1939,102 min,8.1,92,418869,2.08M
The Grand Budapest Hotel,2014,99 min,8.1,88,864114,59.10M
The Terminator,1984,107 min,8.1,84,904782,38.40M
The Handmaiden,2016,145 min,8.1,85,164852,2.01M
Dead Poets Society,1989,128 min,8.1,79,526509,95.86M
"Monsters, Inc.",2001,92 min,8.1,79,955217,289.92M
