Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
"Carry On, Munna Bhai",2006,144 min,8,N/A,48851,2.22M
Andaz Apna Apna,1994,160 min,8,N/A,54701,N/A
Special 26,2013,144 min,8,N/A,58228,1.08M
Nefes: Vatan Sagolsun,2009,128 min,8,N/A,34741,N/A
The Nightmare Before Christmas,1993,76 min,7.9,82,364604,75.08M
Guardians of the Galaxy Vol. 3,2023,150 min,7.9,64,339079,N/A
Titanic,1997,194 min,7.9,75,1252275,659.33M
Edward Scissorhands,1990,105 min,7.9,74,513345,56.36M
Shaun of the Dead,2004,99 min,7.9,76,582522,13.54M
Knives Out,2019,130 min,7.9,82,745897,165.36M
E.T.,1982,115 min,7.9,92,428813,435.11M
Harry Potter and the Prisoner of Azkaban,2004,142 min,7.9,82,671566,249.36M
Mulholland Drive,2001,147 min,7.9,86,375117,7.22M
Almost Famous,2000,122 min,7.9,90,288405,32.53M
Arrival,2016,116 min,7.9,81,742536,100.55M
Fantastic Mr. Fox,2009,87 min,7.9,83,259868,21.00M
Boogie Nights,1997,155 min,7.9,86,277178,26.40M
Iron Man,2008,126 min,7.9,79,1102500,318.41M
Avatar,2009,162 min,7.9,83,1364455,760.51M
Edge of Tomorrow,2014,113 min,7.9,71,717725,100.21M
True Romance,1993,119 min,7.9,N/A,237785,12.28M
The Blues Brothers,1980,133 min,7.9,N/A,209477,57.23M
Bohemian Rhapsody,2018,134 min,7.9,N/A,572774,216.43M
Children of Men,2006,109 min,7.9,84,520081,35.55M
Shrek,2001,90 min,7.9,84,714976,267.67M
Nosferatu,1922,94 min,7.9,N/A,103175,N/A
Zack Snyder's Justice League,2021,242 min,7.9,N/A,426581,N/A
Jojo Rabbit,2019,108 min,7.9,N/A,425135,33.37M
The Perks of Being a Wallflower,2012,103 min,7.9,67,537147,17.74M
Star Trek,2009,127 min,7.9,82,615367,257.73M
Thor: Ragnarok,2017,130 min,7.9,74,796923,315.06M
In Bruges,2008,107 min,7.9,67,452747,7.76M
Wonder,2017,113 min,7.9,66,174194,132.42M
Mystic River,2003,138 min,7.9,84,475355,90.14M
A Christmas Story,1983,93 min,7.9,77,162198,20.61M
District 9,2009,112 min,7.9,81,705593,115.65M
Marriage Story,2019,137 min,7.9,94,334971,2.00M
Arsenic and Old Lace,1944,118 min,7.9,N/A,73884,N/A
X-Men: Days of Future Past,2014,132 min,7.9,75,734454,233.92M
Dallas Buyers Club,2013,117 min,7.9,77,509664,27.30M
This Is Spinal Tap,1984,82 min,7.9,92,144661,4.74M
The Ten Commandments,1956,220 min,7.9,N/A,75467,93.74M
Toy Story 2,1999,92 min,7.9,88,607424,245.85M
Life of Pi,2012,127 min,7.9,79,655270,124.99M
Boyhood,2014,165 min,7.9,100,363631,25.38M
Spartacus,1960,197 min,7.9,87,140693,30.00M
Brazil,1985,132 min,7.9,84,208144,9.93M
Ghost in the Shell,1995,83 min,7.9,76,152352,0.52M
Carlito's Way,1993,144 min,7.9,66,228360,36.95M
Charade,1963,113 min,7.9,83,83119,13.47M
Bound by Honor,1993,180 min,7.9,N/A,33291,4.50M
Rope,1948,80 min,7.9,73,150464,N/A
"Crouching Tiger, Hidden Dragon",2000,120 min,7.9,94,278307,128.08M
A Fistful of Dollars,1964,99 min,7.9,65,227585,14.50M
Being There,1979,130 min,7.9,83,76187,30.18M
Doctor Zhivago,1965,197 min,7.9,69,80592,111.72M
Hero,2002,120 min,7.9,85,185971,53.71M
King Kong,1933,100 min,7.9,92,89335,10.00M
The Wrestler,2008,109 min,7.9,80,316203,26.24M
The Lion in Winter,1968,134 min,7.9,N/A,33316,22.28M
Wings of Desire,1987,128 min,7.9,79,74984,3.33M
Shoplifters,2018,121 min,7.9,93,83310,3.31M
A Streetcar Named Desire,1951,122 min,7.9,97,112679,8.00M
Before Midnight,2013,109 min,7.9,94,168463,8.11M
All the President's Men,1976,138 min,7.9,84,123104,70.60M
Short Term 12,2013,96 min,7.9,82,90709,1.01M
In the Heat of the Night,1967,110 min,7.9,76,81555,24.38M
The Wild Bunch,1969,135 min,7.9,98,88925,12.06M
Dancer in the Dark,2000,140 min,7.9,63,114779,4.18M
Sing Street,2016,106 min,7.9,79,99080,3.24M
Togo,2019,113 min,7.9,69,53597,N/A
Cat on a Hot Tin Roof,1958,108 min,7.9,84,52476,17.57M
The Artist,2011,100 min,7.9,89,246634,44.67M
Harold and Maude,1971,91 min,7.9,62,80615,N/A
Three Colors: Blue,1993,94 min,7.9,87,108256,1.32M
Notorious,1946,102 min,7.9,100,105327,10.46M
Miracle on 34th Street,1947,96 min,7.9,88,51739,2.65M
The Manchurian Candidate,1962,126 min,7.9,94,78463,N/A
Head-On,2004,121 min,7.9,78,56750,N/A
The Raid 2,2014,150 min,7.9,71,129320,2.63M
Strangers on a Train,1951,101 min,7.9,88,138920,7.63M
My Name Is Khan,2010,165 min,7.9,N/A,113238,4.02M
The Killing,1956,84 min,7.9,91,95263,N/A
Patton,1970,172 min,7.9,86,106458,61.70M
Laura,1944,88 min,7.9,N/A,50006,4.36M
The Leopard,1963,186 min,7.9,100,28098,N/A
Once Were Warriors,1994,102 min,7.9,77,36187,2.20M
The Big Sleep,1946,114 min,7.9,86,89082,6.54M
Amour,2012,127 min,7.9,95,104245,6.74M
Mildred Pierce,1945,111 min,7.9,88,27933,N/A
Talk to Her,2002,112 min,7.9,86,116232,9.36M
Harvey,1950,104 min,7.9,N/A,57491,N/A
The Sacrifice,1986,149 min,7.9,N/A,30287,0.30M
Amarcord,1973,123 min,7.9,N/A,45935,0.58M
The Philadelphia Story,1940,112 min,7.9,96,72492,N/A
The Conformist,1970,113 min,7.9,100,32873,0.54M
The Adventures of Robin Hood,1938,102 min,7.9,97,53580,3.98M
Kal Ho Naa Ho,2003,186 min,7.9,N/A,73432,1.79M
A Taxi Driver,2017,137 min,7.9,69,29125,1.53M
In a Lonely Place,1950,94 min,7.9,N/A,34135,N/A
Nine Queens,2000,114 min,7.9,80,55833,1.22M
Cléo from 5 to 7,1962,90 min,7.9,87,25900,N/A
The Return,2003,110 min,7.9,82,46894,0.50M
In Cold Blood,1967,134 min,7.9,89,28255,N/A
The Thin Man,1934,91 min,7.9,86,31835,N/A
My Man Godfrey,1936,94 min,7.9,82,25849,N/A
Nostalghia,1983,125 min,7.9,N/A,29247,0.01M
Kagemusha,1980,162 min,7.9,84,37468,N/A
3-Iron,2004,88 min,7.9,72,57386,0.24M
The Big Heat,1953,89 min,7.9,N/A,28393,N/A
Elevator to the Gallows,1958,91 min,7.9,94,27877,0.11M
About Elly,2009,119 min,7.9,87,56166,0.11M
The Red Circle,1970,140 min,7.9,92,27364,0.37M
No Man's Land,2001,98 min,7.9,84,48364,1.06M
Battleship Potemkin,1925,66 min,7.9,97,60454,0.05M
"4 Months, 3 Weeks and 2 Days",2007,113 min,7.9,97,62592,1.19M
The Way He Looks,2014,96 min,7.9,71,27151,0.10M
Gully Boy,2019,154 min,7.9,65,42387,5.57M
Beauty and the Beast,1946,93 min,7.9,92,27647,0.30M
The Lost Weekend,1945,101 min,7.9,N/A,39360,9.46M
The Rules of the Game,1939,110 min,7.9,99,30687,N/A
Sullivan's Travels,1941,90 min,7.9,N/A,28002,N/A
Through a Glass Darkly,1961,90 min,7.9,84,26838,N/A
C.R.A.Z.Y.,2005,129 min,7.9,81,33841,N/A
Badhaai Ho,2018,124 min,7.9,N/A,36741,N/A
Jab We Met,2007,138 min,7.9,N/A,56936,0.41M
Super 30,2019,154 min,7.9,N/A,35318,2.27M
Pad Man,2018,140 min,7.9,N/A,27897,1.66M
Dev.D,2009,144 min,7.9,N/A,31804,0.01M
Baby,2015,159 min,7.9,N/A,59399,N/A
Airlift,2016,130 min,7.9,N/A,58311,N/A
Mission: Impossible - Dead Reckoning Part One,2023,163 min,7.8,81,179891,N/A
Get Out,2017,104 min,7.8,85,668314,176.04M
The Batman,2022,176 min,7.8,72,741058,369.35M
Ghostbusters,1984,105 min,7.8,71,435233,238.63M
Everything Everywhere All at Once,2022,139 min,7.8,81,486678,72.86M
The Irishman,2019,209 min,7.8,94,417429,7.00M
Pride & Prejudice,2005,129 min,7.8,82,319697,38.41M
The Gentlemen,2019,113 min,7.8,N/A,374541,36.47M
The Big Short,2015,130 min,7.8,81,468049,70.26M
Willy Wonka & the Chocolate Factory,1971,100 min,7.8,67,215422,4.00M
Drive,2011,100 min,7.8,79,686272,35.06M
Ferris Bueller's Day Off,1986,103 min,7.8,61,378403,70.14M
The Social Network,2010,120 min,7.8,95,739922,96.96M
Puss in Boots: The Last Wish,2022,102 min,7.8,73,159240,168.46M
The Notebook,2004,123 min,7.8,N/A,602233,81.00M
All Quiet on the Western Front,2022,148 min,7.8,76,226485,N/A
Night of the Living Dead,1968,96 min,7.8,89,136496,0.09M
The Girl with the Dragon Tattoo,2011,158 min,7.8,71,483781,102.52M
Frankenstein,1931,70 min,7.8,91,78043,N/A
Little Women,2019,135 min,7.8,91,231255,108.10M
About Time,2013,123 min,7.8,N/A,374408,15.32M
Predator,1987,107 min,7.8,N/A,443747,59.74M
The Breakfast Club,1985,97 min,7.8,66,425844,45.88M
The Bride of Frankenstein,1935,75 min,7.8,95,52036,4.36M
The Fugitive,1993,130 min,7.8,87,310908,183.88M
Atonement,2007,123 min,7.8,85,293451,50.93M
Misery,1990,107 min,7.8,75,228184,61.28M
Apocalypto,2006,139 min,7.8,68,325240,50.87M
Tombstone,1993,130 min,7.8,N/A,160738,56.51M
The Hateful Eight,2015,168 min,7.8,68,640876,54.12M
The Hobbit: An Unexpected Journey,2012,169 min,7.8,N/A,856501,303.00M
Call Me by Your Name,2017,132 min,7.8,94,300033,18.10M
Rogue One: A Star Wars Story,2016,133 min,7.8,65,671805,532.18M
A Bronx Tale,1993,121 min,7.8,80,154937,17.27M
Let the Right One In,2008,114 min,7.8,82,224105,2.12M
Dawn of the Dead,1978,127 min,7.8,71,126427,5.10M
Dunkirk,2017,106 min,7.8,94,716524,188.37M
The Curious Case of Benjamin Button,2008,166 min,7.8,70,681138,127.51M
RRR,2022,187 min,7.8,83,158668,14.50M
Nightcrawler,2014,117 min,7.8,76,586889,32.38M
Hot Fuzz,2007,121 min,7.8,81,526258,23.64M
Remember the Titans,2000,113 min,7.8,N/A,227293,115.65M
Skyfall,2012,143 min,7.8,81,719795,304.36M
The Untouchables,1987,119 min,7.8,79,324738,76.27M
The Sandlot,1993,101 min,7.8,N/A,99699,32.42M
Mary Poppins,1964,139 min,7.8,88,181740,102.27M
Hidden Figures,2016,127 min,7.8,74,247607,169.61M
I Saw the Devil,2010,144 min,7.8,67,141715,0.13M
American Gangster,2007,157 min,7.8,76,444219,130.16M
Star Wars: Episode VII - The Force Awakens,2015,138 min,7.8,80,960039,936.66M
Manchester by the Sea,2016,137 min,7.8,96,302414,47.70M
Little Miss Sunshine,2006,101 min,7.8,80,506499,59.89M
Taken,2008,90 min,7.8,N/A,623205,145.00M
Back to the Future Part II,1989,108 min,7.8,N/A,560300,118.50M
Cast Away,2000,143 min,7.8,73,623605,233.63M
Captain America: Civil War,2016,147 min,7.8,75,830818,408.08M
The Last Samurai,2003,154 min,7.8,N/A,460981,111.11M
Captain Fantastic,2016,118 min,7.8,72,229949,5.88M
The Hobbit: The Desolation of Smaug,2013,161 min,7.8,66,690622,258.37M
Freaks,1932,64 min,7.8,80,49476,0.63M
The Bourne Identity,2002,119 min,7.8,68,566955,121.66M
Moonrise Kingdom,2012,94 min,7.8,84,362759,45.51M
Captain America: The Winter Soldier,2014,136 min,7.8,70,883004,259.77M
The Man from Earth,2007,87 min,7.8,N/A,196045,N/A
Straight Outta Compton,2015,147 min,7.8,72,213619,161.20M
The King of Comedy,1982,109 min,7.8,73,114503,2.50M
Kiki's Delivery Service,1989,103 min,7.8,85,157658,N/A
Close,2022,104 min,7.8,81,29641,N/A
Big Hero 6,2014,102 min,7.8,74,488756,222.53M
The Outlaw Josey Wales,1976,135 min,7.8,69,78160,31.80M
Boyz n the Hood,1991,112 min,7.8,76,150096,57.50M
Moon,2009,97 min,7.8,67,371322,5.01M
Walk the Line,2005,136 min,7.8,72,261390,119.52M
Midnight Cowboy,1969,113 min,7.8,79,117482,44.79M
Serenity,2005,119 min,7.8,74,302921,25.51M
The Holy Mountain,1973,114 min,7.8,76,46697,0.06M
Jujutsu Kaisen 0,2021,112 min,7.8,71,30306,34.54M
Paddington 2,2017,103 min,7.8,88,88357,40.44M
The Girl with the Dragon Tattoo,2009,152 min,7.8,76,221281,10.10M
The Fall,2006,117 min,7.8,64,115428,2.28M
The Fighter,2010,116 min,7.8,79,383072,93.62M
Hunt for the Wilderpeople,2016,101 min,7.8,81,138142,5.20M
The Remains of the Day,1993,134 min,7.8,86,81365,22.95M
Captain Phillips,2013,134 min,7.8,82,483104,107.10M
Mississippi Burning,1988,128 min,7.8,65,106988,34.60M
Red River,1948,133 min,7.8,96,33439,N/A
Awakenings,1990,121 min,7.8,74,153904,52.10M
Duck Soup,1933,69 min,7.8,93,62049,N/A
Ed Wood,1994,127 min,7.8,70,181868,5.89M
Isle of Dogs,2018,101 min,7.8,82,185229,32.02M
Thirteen Lives,2022,147 min,7.8,66,64516,N/A
The Day the Earth Stood Still,1951,92 min,7.8,83,84732,N/A
The Best Offer,2013,131 min,7.8,N/A,125932,0.09M
The Insider,1999,157 min,7.8,84,177519,28.97M
Glory,1989,122 min,7.8,78,141512,26.83M
The Searchers,1956,119 min,7.8,94,94396,N/A
The World's Fastest Indian,2005,127 min,7.8,68,57333,5.13M
October Sky,1999,108 min,7.8,71,96263,32.48M
My Fair Lady,1964,170 min,7.8,95,99743,72.00M
Cabaret,1972,124 min,7.8,80,58131,42.77M
The Conversation,1974,113 min,7.8,87,118205,4.42M
Changeling,2008,141 min,7.8,63,262662,35.74M
The Day of the Jackal,1973,143 min,7.8,80,43832,16.06M
The Innocents,1961,100 min,7.8,88,32461,2.62M
Gaslight,1944,114 min,7.8,78,32621,N/A
How to Train Your Dragon 2,2014,102 min,7.8,77,355340,177.00M
Kramer vs. Kramer,1979,105 min,7.8,77,151883,106.26M
"Aguirre, the Wrath of God",1972,95 min,7.8,N/A,60502,N/A
The Killing Fields,1984,141 min,7.8,76,58144,34.70M
Lilya 4-Ever,2002,109 min,7.8,83,48285,0.18M
Stagecoach,1939,96 min,7.8,93,52491,N/A
Once,2007,86 min,7.8,90,120060,9.44M
All That Jazz,1979,123 min,7.8,72,34252,37.82M
The Right Stuff,1983,193 min,7.8,91,64291,21.50M
Breaking the Waves,1996,159 min,7.8,82,70379,4.04M
Days of Heaven,1978,94 min,7.8,93,61267,N/A
My Left Foot,1989,103 min,7.8,97,78234,14.74M
Hannah and Her Sisters,1986,107 min,7.8,90,74898,40.08M
Loving Vincent,2017,94 min,7.8,62,61935,6.74M
Shadow of a Doubt,1943,108 min,7.8,94,69121,N/A
The Chaser,2008,125 min,7.8,64,70902,N/A
Manhattan,1979,96 min,7.8,83,144799,45.70M
Letters from Iwo Jima,2006,141 min,7.8,89,168142,13.76M
East of Eden,1955,118 min,7.8,72,47992,N/A
Whisper of the Heart,1995,111 min,7.8,75,69205,N/A
Land of Mine,2015,100 min,7.8,75,44502,0.44M
All About My Mother,1999,101 min,7.8,87,101320,8.26M
Batman: Mask of the Phantasm,1993,76 min,7.8,65,55187,5.62M
The Asphalt Jungle,1950,112 min,7.8,85,29161,N/A
Ninja Scroll,1993,94 min,7.8,N/A,39687,N/A
Pride,2014,119 min,7.8,79,60586,N/A
"I, Daniel Blake",2016,100 min,7.8,78,63381,0.26M
The Chorus,2004,97 min,7.8,N/A,65818,3.64M
Guess Who's Coming to Dinner,1967,108 min,7.8,63,47909,56.70M
The Man Who Would Be King,1975,129 min,7.8,91,51190,N/A
The Discreet Charm of the Bourgeoisie,1972,102 min,7.8,93,45644,0.20M
The White Ribbon,2009,144 min,7.8,84,76499,2.22M
The Killer,1989,111 min,7.8,82,50271,N/A
A Prophet,2009,155 min,7.8,90,101153,2.08M
Cowboy Bebop: The Movie,2001,115 min,7.8,61,51727,1.00M
Bringing Up Baby,1938,102 min,7.8,91,64857,N/A
The Umbrellas of Cherbourg,1964,91 min,7.8,86,30269,0.03M
To Have and Have Not,1944,100 min,7.8,90,37328,N/A
The Lunchbox,2013,104 min,7.8,76,59589,4.23M
Tokyo Godfathers,2003,92 min,7.8,74,44398,0.13M
His Girl Friday,1940,92 min,7.8,N/A,61857,0.30M
You Can't Take It with You,1938,126 min,7.8,N/A,27200,4.66M
Once Upon a Time in Anatolia,2011,157 min,7.8,82,48977,0.14M
"Like Father, Like Son",2013,121 min,7.8,73,27221,0.28M
Crimes and Misdemeanors,1989,104 min,7.8,77,60068,18.25M
Hiroshima Mon Amour,1959,90 min,7.8,N/A,34921,0.09M
My Life to Live,1962,85 min,7.8,N/A,34250,N/A
My Life as a Zucchini,2016,70 min,7.8,85,28129,0.29M
Millennium Actress,2001,87 min,7.8,70,30809,0.19M
Veer-Zaara,2004,192 min,7.8,67,56007,2.92M
The Postman,1994,108 min,7.8,81,38377,21.85M
Knockin' on Heaven's Door,1997,87 min,7.8,N/A,32828,0.00M
A Night at the Opera,1935,96 min,7.8,N/A,34229,2.54M
English Vinglish,2012,134 min,7.8,N/A,38189,1.67M
Vicky Donor,2012,126 min,7.8,N/A,44857,0.17M
Hindi Medium,2017,132 min,7.8,N/A,31297,N/A
Halloween,1978,91 min,7.7,87,300482,47.00M
John Wick: Chapter 4,2023,169 min,7.7,78,294484,N/A
Coraline,2009,100 min,7.7,80,255638,75.29M
The Goonies,1985,114 min,7.7,62,291407,61.50M
Wind River,2017,107 min,7.7,73,271069,33.80M
The Whale,2022,117 min,7.7,N/A,186569,N/A
Home Alone,1990,103 min,7.7,63,616002,285.76M
Harry Potter and the Goblet of Fire,2005,157 min,7.7,81,662436,290.01M
Sicario,2015,121 min,7.7,82,458816,46.89M
Man on Fire,2004,146 min,7.7,N/A,381225,77.91M
The Hangover,2009,100 min,7.7,73,825635,277.32M
Zodiac,2007,157 min,7.7,79,579637,33.08M
Mission: Impossible - Fallout,2018,147 min,7.7,86,367684,220.16M
The Banshees of Inisherin,2022,114 min,7.7,87,231454,N/A
Silver Linings Playbook,2012,122 min,7.7,81,731466,132.09M
Aftersun,2022,102 min,7.7,95,77850,N/A
Kingsman: The Secret Service,2014,129 min,7.7,N/A,700591,128.26M
Black Hawk Down,2001,144 min,7.7,74,415330,108.64M
Harry Potter and the Deathly Hallows: Part 1,2010,146 min,7.7,65,581975,295.98M
Blue Is the Warmest Colour,2013,180 min,7.7,90,159999,2.20M
Lost in Translation,2003,102 min,7.7,91,477242,44.59M
Mr. Nobody,2009,141 min,7.7,63,242502,0.00M
Ocean's Eleven,2001,116 min,7.7,74,604750,183.42M
Apollo 13,1995,140 min,7.7,77,308709,173.84M
Evil Dead II,1987,84 min,7.7,72,178573,5.92M
Airplane!,1980,88 min,7.7,78,254282,83.40M
The Game,1997,129 min,7.7,63,418402,48.32M
When Harry Met Sally...,1989,95 min,7.7,76,234740,92.82M
Dirty Harry,1971,102 min,7.7,87,165243,35.90M
Ex Machina,2014,108 min,7.7,78,572292,25.44M
Tangled,2010,100 min,7.7,71,481201,200.82M
Training Day,2001,122 min,7.7,71,461112,76.63M
Blue Velvet,1986,120 min,7.7,76,210633,8.55M
The Last of the Mohicans,1992,112 min,7.7,76,182142,75.51M
500 Days of Summer,2009,95 min,7.7,76,543471,32.39M
Brokeback Mountain,2005,134 min,7.7,87,374284,83.04M
What's Eating Gilbert Grape,1993,118 min,7.7,73,249025,9.17M
First Blood,1982,93 min,7.7,61,268618,47.21M
Gravity,2013,91 min,7.7,96,850845,274.09M
Who Framed Roger Rabbit,1988,104 min,7.7,83,212262,156.45M
The Worst Person in the World,2021,128 min,7.7,90,88270,N/A
Y tu mamá también,2001,106 min,7.7,89,127397,13.62M
As Good as It Gets,1997,139 min,7.7,67,312760,148.48M
A Few Good Men,1992,138 min,7.7,62,280285,141.34M
Wait Until Dark,1967,108 min,7.7,81,32942,17.55M
Blazing Saddles,1974,93 min,7.7,73,147998,119.50M
X: First Class,2011,131 min,7.7,65,713591,146.41M
Donnie Brasco,1997,127 min,7.7,76,324489,41.91M
Flipped,2010,90 min,7.7,N/A,95342,1.75M
Birdman or (The Unexpected Virtue of Ignorance),2014,119 min,7.7,87,654937,42.34M
The Count of Monte Cristo,2002,131 min,7.7,61,145764,54.23M
Another Round,2020,117 min,7.7,79,183471,N/A
The Name of the Rose,1986,130 min,7.7,N/A,114309,7.15M
Mulan,1998,87 min,7.7,71,307493,120.62M
Deliverance,1972,109 min,7.7,80,117057,7.06M
Crash,2004,112 min,7.7,66,445523,54.58M
Naked,1993,131 min,7.7,85,42624,1.77M
Toy Story 4,2019,100 min,7.7,84,271070,434.04M
Gattaca,1997,106 min,7.7,64,317254,12.34M
Argo,2012,120 min,7.7,86,631335,136.03M
The Boondock Saints,1999,108 min,7.7,N/A,246684,0.03M
Black Book,2006,145 min,7.7,71,79498,4.40M
Primal Fear,1996,129 min,7.7,N/A,239933,56.12M
The Boy in the Striped Pajamas,2008,94 min,7.7,N/A,237165,9.03M
Sound of Metal,2019,120 min,7.7,82,143762,N/A
The Lego Movie,2014,100 min,7.7,83,380153,257.76M
Wreck-It Ralph,2012,101 min,7.7,72,447514,189.42M
The French Connection,1971,104 min,7.7,94,131950,15.63M
The Color Purple,1985,154 min,7.7,78,92704,98.47M
"O Brother, Where Art Thou?",2000,107 min,7.7,69,324868,45.51M
Fried Green Tomatoes,1991,130 min,7.7,64,80010,82.42M
Philadelphia,1993,125 min,7.7,66,253296,77.32M
The Magnificent Seven,1960,128 min,7.7,74,100332,4.91M
Evil,2003,113 min,7.7,61,40959,0.02M
Road to Perdition,2002,117 min,7.7,72,279908,104.45M
Goldfinger,1964,110 min,7.7,87,198807,51.08M
The Fault in Our Stars,2014,126 min,7.7,69,394164,124.87M
Sense and Sensibility,1995,136 min,7.7,84,122629,43.18M
This Is England,2006,101 min,7.7,86,126912,0.33M
3:10 to Yuma,2007,122 min,7.7,76,325927,53.61M
The Vanishing,1988,107 min,7.7,N/A,42162,N/A
Empire of the Sun,1987,153 min,7.7,62,132099,22.24M
Badlands,1973,94 min,7.7,93,76886,N/A
Billy Elliot,2000,110 min,7.7,74,140347,22.00M
The Theory of Everything,2014,123 min,7.7,71,472678,35.89M
Kung Fu Hustle,2004,99 min,7.7,78,147785,17.11M
Detachment,2011,98 min,7.7,N/A,95111,0.07M
Lucky Number Slevin,2006,110 min,7.7,N/A,322064,22.49M
The Bourne Supremacy,2004,108 min,7.7,73,479943,176.24M
Adaptation.,2002,115 min,7.7,83,199720,22.25M
Being John Malkovich,1999,113 min,7.7,90,348473,22.86M
The Trial of the Chicago 7,2020,129 min,7.7,76,188732,N/A
Serpico,1973,130 min,7.7,83,131474,29.80M
Hamlet,1996,242 min,7.7,N/A,39445,4.41M
Glengarry Glen Ross,1992,100 min,7.7,82,113237,10.73M
A Man Called Ove,2015,116 min,7.7,70,66363,3.48M
Star Trek Into Darkness,2013,132 min,7.7,72,493329,228.78M
Invasion of the Body Snatchers,1956,80 min,7.7,92,53510,N/A
Roma,2018,135 min,7.7,96,166567,N/A
Sorcerer,1977,121 min,7.7,68,25874,12.00M
The Great Beauty,2013,141 min,7.7,86,95784,2.85M
The Wind Rises,2013,126 min,7.7,83,93926,5.21M
Paprika,2006,90 min,7.7,81,92142,0.88M
Bonnie and Clyde,1967,111 min,7.7,86,118342,N/A
Malcolm X,1992,202 min,7.7,73,99983,48.17M
Happiness,1998,134 min,7.7,81,73282,2.81M
Belle de Jour,1967,100 min,7.7,N/A,47718,0.03M
Ordinary People,1980,124 min,7.7,86,55390,54.80M
Clerks,1994,92 min,7.7,70,229640,3.15M
"South Park: Bigger, Longer & Uncut",1999,81 min,7.7,73,212211,52.04M
Ray,2004,152 min,7.7,73,154849,75.33M
The Dirty Dozen,1967,150 min,7.7,73,77555,45.30M
Star Trek II: The Wrath of Khan,1982,113 min,7.7,68,127314,78.91M
The Last Emperor,1987,163 min,7.7,76,109138,43.98M
The Verdict,1982,129 min,7.7,77,44585,54.00M
The Longest Day,1962,178 min,7.7,75,58232,39.10M
Mother,2009,129 min,7.7,79,69590,0.55M
Me and Earl and the Dying Girl,2015,105 min,7.7,74,136491,6.74M
Nebraska,2013,115 min,7.7,86,121382,17.65M
Miller's Crossing,1990,115 min,7.7,66,139937,5.08M
Kubo and the Two Strings,2016,101 min,7.7,84,136346,48.02M
Fantasia,1940,124 min,7.7,96,101749,76.41M
The Man from Nowhere,2010,119 min,7.7,N/A,73258,0.01M
The Quiet Man,1952,129 min,7.7,85,41273,10.55M
Open Your Eyes,1997,119 min,7.7,N/A,72208,0.37M
Finding Neverland,2004,106 min,7.7,67,210492,51.68M
Porco Rosso,1992,94 min,7.7,83,97550,N/A
Perfect Strangers,2016,96 min,7.7,N/A,69666,N/A
Short Cuts,1993,188 min,7.7,81,46765,6.11M
Run Lola Run,1998,80 min,7.7,77,204361,7.27M
Breathless,1960,90 min,7.7,N/A,86247,0.34M
Cape Fear,1962,106 min,7.7,76,31051,N/A
The Lady Vanishes,1938,96 min,7.7,98,55884,N/A
Fantastic Planet,1973,72 min,7.7,73,35491,0.19M
The Muppet Christmas Carol,1992,85 min,7.7,64,65174,27.28M
Night on Earth,1991,129 min,7.7,68,64442,2.02M
The Broken Circle Breakdown,2012,111 min,7.7,70,42706,0.18M
Beasts of No Nation,2015,137 min,7.7,79,85405,0.08M
Waking Life,2001,99 min,7.7,84,66234,2.89M
Zulu,1964,138 min,7.7,77,41671,N/A
Good Bye Lenin!,2003,121 min,7.7,68,150844,4.06M
Taste of Cherry,1997,95 min,7.7,80,34885,0.31M
The Little Prince,2015,108 min,7.7,70,65363,1.34M
A Man for All Seasons,1966,120 min,7.7,72,36483,28.35M
Happy Together,1997,96 min,7.7,70,32810,0.19M
Dreams,1990,119 min,7.7,N/A,28289,1.96M
Scarface,1932,93 min,7.7,90,29620,N/A
The Double Life of Véronique,1991,98 min,7.7,86,51832,2.00M
The African Queen,1951,105 min,7.7,91,82677,0.54M
The Motorcycle Diaries,2004,126 min,7.7,75,103918,16.78M
Hedwig and the Angry Inch,2001,95 min,7.7,85,36962,3.03M
Black Narcissus,1947,101 min,7.7,86,26811,N/A
The Triplets of Belleville,2003,80 min,7.7,91,56367,7.00M
Hard Boiled,1992,128 min,7.7,N/A,53037,N/A
The Adventure,1960,144 min,7.7,N/A,31962,N/A
The Magdalene Sisters,2002,114 min,7.7,83,28133,4.89M
The Salesman,2016,124 min,7.7,85,63586,2.40M
Confessions,2010,106 min,7.7,N/A,41230,N/A
Frost/Nixon,2008,122 min,7.7,80,111291,18.59M
Adam's Apples,2005,94 min,7.7,N/A,53428,0.00M
The Experiment,2001,120 min,7.7,N/A,95506,0.14M
Marty,1955,90 min,7.7,82,26239,N/A
Key Largo,1948,100 min,7.7,N/A,43300,N/A
The Purple Rose of Cairo,1985,82 min,7.7,75,53987,10.63M
How Green Was My Valley,1941,118 min,7.7,88,25833,N/A
Down by Law,1986,107 min,7.7,75,54358,1.44M
After the Wedding,2006,120 min,7.7,78,36249,0.41M
Joint Security Area,2000,110 min,7.7,N/A,33210,N/A
In America,2002,105 min,7.7,76,43977,15.54M
Jules and Jim,1962,105 min,7.7,97,43670,N/A
The Girl Who Leapt Through Time,2006,98 min,7.7,66,69549,N/A
The Breadwinner,2017,94 min,7.7,78,27615,0.31M
Love and Death,1975,85 min,7.7,89,40182,N/A
Fireworks,1997,103 min,7.7,83,32417,0.23M
The Edge of Heaven,2007,122 min,7.7,85,33125,0.74M
The Past,2013,130 min,7.7,85,50335,1.33M
Zelig,1983,79 min,7.7,N/A,43538,11.80M
